PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
GA0310002,PORTAL WATER SYSTEM,Community water system,Ground water,Bulloch,PORTAL,879,6,11,6
GA2170014,PORTERDALE,Community water system,Surface water purchased,Newton,COVINGTON,884,6,14,7
GA3210001,POULAN,Community water system,Ground water,Worth,POULAN,879,8,14,4
GA0690063,POWELL MOBILE HOME PARK,Community water system,Ground water,Coffee,DOUGLAS,55,6,45,5
GA3070000,PRESTON,Community water system,Ground water,Webster,,858,12,17,5
GA0310203,PRETORIA STATION/BROOKWOOD SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,333,6,13,6
GA1910076,PRIESTER ESTATES/MOSS LANDING S/D,Community water system,Ground water,McIntosh,,151,4,35,5
GA1470066,PROVIDENCE POINT LANDING S/D,Community water system,Ground water,Hart,,60,3,1,4
GA0430001,PULASKI,Community water system,Ground water,Candler,PULASKI,280,8,10,7
GA0310215,PULASKI POINTE SUBDIVISION,Community water system,Ground water,Bulloch,,120,4,6,4
GA0430028,PULASKI WOODS,Community water system,Ground water,Candler,,26,5,1,3
GA0510112,QUACCO VILLAGE,Community water system,Ground water,Chatham,,138,5,15,6
GA0290067,QUAIL HAMLET SUBDIVISION,Community water system,Ground water,Bryan,,55,4,17,4
GA1310048,QUAIL RIDGE SOUTH SUBDIVISION,Community water system,Ground water,Grady,CALVARY,278,5,15,5
GA1030080,QUAIL RUN MOBILE HOME ESTATES,Community water system,Ground water,Effingham,SPRINGFIELD,260,4,10,5
GA3050076,QUAIL RUN MOBILE HOME PARK,Community water system,Ground water,Wayne,,190,8,22,6
GA1850320,QUARTERMAN CROSSING SUBDIVISION,Community water system,Ground water,Lowndes,,221,4,0,4
GA0270002,QUITMAN,Community water system,Ground water,Brooks,QUITMAN,"4,860",8,36,9
GA2390008,QUITMAN WATER & SEWER AUTH.,Community water system,Ground water,Quitman,,936,4,12,4
GA2410118,RABUN COUNTY WATER & SEWER AUTHORITY,Community water system,Surface water,Rabun,CLAYTON,"4,587",6,3,33
GA1030130,RAHN STATION SUBDIVISION,Community water system,Ground water,Effingham,,49,5,4,5
GA3110085,RAINBOW RETREAT S/D,Community water system,Ground water,White,CLEVELAND,59,6,0,4
GA3050025,RAINTREE TRAILER PARK,Community water system,Ground water,Wayne,JESUP,78,4,80,5
GA1850053,RAINTREE VILLAGE,Community water system,Ground water,Lowndes,VALDOSTA,36,4,60,5
GA0590020,RAMBLE HILLS SUBDIVISION,Community water system,Ground water,Clarke,ATHENS,97,6,36,5
GA1070020,RANCH PARK WATER SYSTEM,Community water system,Ground water,Emanuel,,200,6,39,5
GA2430003,RANDOLPH COUNTY WATER AUTHORITY,Community water system,Ground water,Randolph,COLEMAN,237,6,26,6
GA1270193,RATCLIFFE LAKES SUBDIVISION,Community water system,Ground water,Glynn,BRUNSWICK,39,3,1,1
GA0190003,RAY CITY,Community water system,Ground water,Berrien,RAY CITY,"1,154",6,37,5
GA3170000,RAYLE WATER SYSTEM,Community water system,Ground water,Wilkes,RAYLE,172,7,8,6
GA0870007,RBE II,Community water system,Ground water,Decatur,BAINBRIDGE,120,5,17,6
GA2450014,REASONABLE LIVING,Community water system,Ground water,Richmond,HEPHZIBAH,41,6,26,4
GA2870001,REBECCA,Community water system,Ground water,Turner,REBECCA,239,6,18,4
GA0870055,"RED BLUFF ENTERPRISES, LLC",Community water system,Ground water,Decatur,BAINBRIDGE,211,4,15,5
GA1030036,RED GATE MOBILE HOME PARK,Community water system,Ground water,Effingham,,80,3,16,7
GA3210044,REDROCK ESTATES,Community water system,Ground water,Worth,,127,5,10,3
GA0270038,REDWOOD LAKE,Community water system,Ground water,Brooks,,52,4,9,4
GA1470057,REED CREEK POINT/REED CREEK HEIGHTS,Community water system,Ground water,Hart,HARTWELL,203,8,12,4
GA1470056,REED CREEK S/D,Community water system,Ground water,Hart,HARTWELL,242,6,4,4
GA0310003,REGISTER WATER SYSTEM,Community water system,Ground water,Bulloch,REGISTER,182,6,52,6
GA2670004,REIDSVILLE WATER SYSTEM,Community water system,Ground water,Tattnall,REIDSVILLE,"2,594",10,18,5
GA1850064,REMERTON,Community water system,Ground water purchased,Lowndes,REMERTON,"1,345",7,33,6
GA1750006,RENTZ,Community water system,Ground water,Laurens,RENTZ,"1,536",8,3,5
GA3050093,RETREAT AT POST ROAD,Community water system,Ground water,Wayne,,26,5,0,2
GA2690001,REYNOLDS,Community water system,Ground water,Taylor,,"1,273",8,21,11
GA1330046,REYNOLDS PLANTATION,Community water system,Ground water,Greene,,"7,777",66,43,6
GA0910003,RHINE,Community water system,Ground water,Dodge,RHINE,416,8,49,3
GA1790035,RICEBORO,Community water system,Ground water,Liberty,RICEBORO,"1,131",8,5,5
GA2590002,RICHLAND,Community water system,Ground water,Stewart,RICHLAND,"1,451",11,55,4
GA0290000,RICHMOND HILL,Community water system,Ground water,Bryan,RICHMOND HILL,"16,068",14,20,7
GA0290036,RICHMOND HILL MHP,Community water system,Ground water,Bryan,,58,4,9,5
GA0810006,RICONNUCK KNOLL SUBDIVISION,Community water system,Ground water,Crisp,,140,5,27,5
GA3030004,RIDDLEVILLE,Community water system,Ground water,Washington,HARRISON,164,4,33,4
GA1470077,RIDGEVIEW ESTATES SD,Community water system,Ground water,Hart,,21,5,5,1
GA0690048,RIDGEWOOD MOBILE HOME COMMUNITY,Community water system,Ground water,Coffee,DOUGLAS,101,7,26,9
GA1030001,RINCON WATER SYSTEM,Community water system,Surface water purchased,Effingham,RINCON,"15,654",13,17,5
GA0470002,RINGGOLD,Community water system,Surface water,Catoosa,RINGGOLD,"2,743",5,13,36
GA0510044,RIO VISTA/BURNSIDE,Community water system,Ground water,Chatham,SAVANNAH,702,8,10,5
GA2370045,RIVER BEND/HORSESHOE BEND,Community water system,Ground water,Putnam,,"2,028",34,38,6
GA0130033,RIVER BLUFF SUBDIVISION,Community water system,Ground water,Barrow,,101,6,29,4
GA1910123,RIVER MARSH MOBILE HOME PARK,Community water system,Ground water,McIntosh,DARIEN,60,3,0,1
GA0510046,RIVER OAKS SUBDIVISION,Community water system,Ground water,Chatham,,541,5,4,6
GA1910071,RIVER OAKS SUBDIVISION,Community water system,Ground water,McIntosh,,53,4,57,5
GA0390059,RIVER PLACE PLANTATION,Community water system,Ground water,Camden,,25,4,1,1
GA0250021,RIVER RIDGE SUBDIVISION,Community water system,Ground water,Brantley,,107,5,0,4
GA1030102,RIVER ROAD FARMS,Community water system,Ground water,Effingham,,273,6,7,6
GA1790121,RIVER VIEW SUBDIVISION,Community water system,Ground water,Liberty,,58,4,132,5
GA2110055,RIVER WOODS ON LAKE OCONEE S/D,Community water system,Ground water,Morgan,,125,10,25,5
GA3050080,RIVER'S REACH,Community water system,Ground water,Wayne,JESUP,115,10,6,4
GA2770132,RIVERBEND ESTATES,Community water system,Ground water,Tift,,213,6,10,6
GA2970046,RIVERMIST SUBDIVISION,Community water system,Ground water,Walton,,94,4,10,5
GA3050013,RIVERSIDE ACRES MHP,Community water system,Ground water,Wayne,,263,6,7,5
GA2530005,RIVERSIDE ACRES SUBDIVISION,Community water system,Ground water,Seminole,,185,6,44,7
GA0510157,RIVERSIDE ESTATES,Community water system,Ground water,Chatham,SAVANNAH,75,4,37,5
GA2170028,RIVERSIDE ESTATES MHP  #2,Community water system,Ground water,Newton,,629,8,33,5
GA0510144,RIVERVIEW MOBILE INN,Community water system,Ground water,Chatham,SAVANNAH,179,6,12,5
GA2750024,RIVERWOOD ESTATES,Community water system,Ground water,Thomas,,62,6,3,5
GA0710040,RIVERWOOD SUBDIVISION,Community water system,Ground water,Colquitt,,403,4,4,4
GA0790000,ROBERTA,Community water system,Ground water,Crawford,ROBERTA,"3,143",23,24,8
GA1790018,ROBERTS PROPERTIES,Community water system,Ground water,Liberty,HINESVILLE,65,4,16,5
GA3150003,ROCHELLE,Community water system,Ground water,Wilcox,ROCHELLE,"1,648",6,20,5
GA2470000,ROCKDALE CO. WATER SYSTEM,Community water system,Surface water,Rockdale,CONYERS,"72,621",7,13,31
GA2330002,ROCKMART,Community water system,Groundwater under influence of surface water,Polk,ROCKMART,"4,199",8,7,33
GA1330007,ROCKY CREEK SUBDIVISION,Community water system,Ground water,Greene,GREENSBORO,58,6,45,5
GA2510044,ROCKY FORD,Community water system,Ground water,Screven,ROCKY FORD,185,4,14,7
GA2670005,ROGERS STATE PRISON,Community water system,Ground water,Tattnall,,"3,500",10,26,6
GA1850120,ROGERS SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,47,4,28,6
GA1130009,ROLLING MEADOWS ESTATES,Community water system,Ground water,Fayette,,299,6,4,3
GA2510056,ROLLING RIDGE WATER SYSTEM,Community water system,Ground water,Screven,,25,4,10,5
GA1150002,ROME,Community water system,Surface water,Floyd,ROME,"45,586",6,7,23
GA0450004,ROOPVILLE,Community water system,Ground water,Carroll,ROOPVILLE,252,6,32,5
GA1990009,ROOSEVELT WARM SPRINGS INST.,Community water system,Ground water,Meriwether,WARM SPRINGS,493,4,5,7
GA1950065,ROSE HILL SUBDIVISION,Community water system,Ground water,Madison,,68,7,8,4
GA1030105,ROSEWOOD WATER SYSTEM,Community water system,Ground water,Effingham,,52,3,4,5
GA1210009,ROSWELL,Community water system,Surface water,Fulton,ROSWELL,"14,300",7,8,36
GA1030112,ROYAL OAKS PLANTATION,Community water system,Ground water,Effingham,,252,4,6,4
GA1870082,ROYAL OAKS SUBDIVISION,Community water system,Ground water,Lumpkin,,88,5,2,5
GA1190004,ROYSTON,Community water system,Surface water,Franklin,ROYSTON,"2,800",11,4,29
GA0510096,RUNAWAY POINT,Community water system,Ground water,Chatham,SAVANNAH,861,4,5,5
GA0770109,RUSTICA ESTATES,Community water system,Ground water,Coweta,,88,9,82,3
GA0210078,RUTLAND STATION,Community water system,Ground water,Bibb,,99,5,7,8
GA2110003,RUTLEDGE WATER SYSTEM,Community water system,Surface water purchased,Morgan,RUTLEDGE,993,17,13,5
GA1790159,RYAN ESTATES,Community water system,Ground water,Liberty,,62,5,2,3
GA1830035,RYE PATCH COMMUNITY WELL,Community water system,Ground water,Long,LUDOWICI,70,4,197,5
GA1610027,S & E MOBILE HOME PARK,Community water system,Ground water,Jeff Davis,,68,4,10,4
GA0310241,SADDLE CREEK,Community water system,Ground water,Bulloch,,164,4,0,4
GA1030093,SADDLEBROOK SUBDIVISION,Community water system,Ground water,Effingham,,398,6,35,5
GA2050004,SALE CITY,Community water system,Ground water,Mitchell,SALE CITY,426,6,19,5
GA1330051,SALEM PLANTATION SUBDIVISION,Community water system,Ground water,Greene,,130,6,15,5
GA0390056,SANCTUARY COVE WATER SYSTEM,Community water system,Ground water,Camden,,294,7,1,5
GA0310273,SANDALWOOD S/D,Community water system,Ground water,Bulloch,,166,5,1,3
GA1470051,SANDERS MOBILE HOME PARK,Community water system,Groundwater under influence of surface water,Hart,HARTWELL,332,7,13,6
GA3030005,SANDERSVILLE,Community water system,Ground water,Washington,SANDERSVILLE,"6,045",12,18,3
GA3050088,SANDHILL SUBDIVISION,Community water system,Ground water,Wayne,,31,3,0,3
GA1830033,SANDHILL SUBDIVISION,Community water system,Ground water,Long,,46,4,13,5
GA0710041,SANDS MOBILE HOME PARK,Community water system,Ground water,Colquitt,,112,4,82,5
GA0510267,SANDY BLUFF SUBDIVISION,Community water system,Ground water,Chatham,,62,4,12,6
GA1830042,SANDY RIDGE SUBDIVISION,Community water system,Ground water,Long,,64,5,3,3
GA0590007,SANDY SPRINGS SUBDIVISION,Community water system,Ground water,Clarke,,55,4,18,6
GA1030122,SANDY WOODS SUBDIVISION,Community water system,Ground water,Effingham,,36,4,21,5
GA2750059,SANFORD HEIGHTS SUBDIVISION,Community water system,Ground water,Thomas,THOMASVILLE,169,8,33,5
GA2790001,SANTA CLAUS,Community water system,Ground water,Toombs,LYONS,229,4,18,4
GA1910003,SAPELO GARDENS,Community water system,Ground water,McIntosh,,153,6,12,5
GA1910097,SAPELO RIDGE/POPPELL FARMS SUBDIVISION,Community water system,Ground water,McIntosh,,187,5,3,5
GA1910008,SAPELO WOODS SUBDIVISION,Community water system,Ground water,McIntosh,,312,5,6,5
GA0330002,SARDIS,Community water system,Ground water,Burke,SARDIS,"1,159",10,46,5
GA2730003,SASSER,Community water system,Ground water,Terrell,SASSER,362,8,9,3
GA1790098,SASSER`S MOBILE HOME PARK,Community water system,Ground water,Liberty,HINESVILLE,52,3,13,5
GA0250003,SATILLA ESTATES,Community water system,Ground water,Brantley,,234,5,10,5
GA2290032,SATILLA HILLS SUBDIVISION,Community water system,Ground water,Pierce,BLACKSHEAR,73,4,3,4
GA2990051,SATILLA REGIONAL WATER & SEWER AUTH-EAST,Community water system,Ground water,Ware,WAYCROSS,"3,654",7,2,5
GA2990001,SATILLA REGIONAL WATER & SEWER AUTH.,Community water system,Ground water,Ware,WAYCROSS,"10,657",9,5,5
GA1270016,SATILLA SHORES SUBDIVISION,Community water system,Ground water,Glynn,BRUNSWICK,257,5,3,3
GA0510051,SAVANNAH PINES MOBILE HOME PARK,Community water system,Ground water,Chatham,POOLER,632,4,34,6
GA0510145,SAVANNAH RV RESORT,Community water system,Ground water,Chatham,,25,5,12,5
GA0510060,SAVANNAH YACHT & COUNTRY CLUB,Community water system,Ground water,Chatham,SAVANNAH,257,6,12,5
GA0510027,SAVANNAH-DUTCH ISLAND,Community water system,Ground water,Chatham,,"1,191",8,10,5
GA0510081,SAVANNAH-GEORGETOWN/GATEWAY,Community water system,Ground water,Chatham,,"14,589",18,12,6
GA0510004,SAVANNAH-I & D,Community water system,Surface water,Chatham,,"10,500",12,20,10
GA0510003,SAVANNAH-MAIN,Community water system,Ground water,Chatham,SAVANNAH,"168,958",49,15,6
GA0510259,SAVANNAH-SAVANNAH QUARTERS,Community water system,Ground water,Chatham,SAVANNAH,"2,665",7,12,5
GA0510250,SAVANNAH-WHITEMARSH ISLAND,Community water system,Ground water,Chatham,,"4,247",7,11,5
GA0510229,SAVANNAH-WILMINGTON ISLAND,Community water system,Ground water,Chatham,,"13,526",10,13,5
GA0110028,SCALES CREEK GOLF COURSE,Community water system,Surface water purchased,Banks,,50,2,5,6
GA1410007,SCENIC SHORES SUBDIVISION,Community water system,Ground water,Hancock,,"1,095",14,15,5
GA2490004,SCHLEY COUNTY WATER SYSTEM,Community water system,Ground water,Schley,,"1,580",6,6,7
GA2710005,SCOTLAND,Community water system,Ground water,Telfair,SCOTLAND,372,7,27,5
GA1670001,SCOTT WATER & SEWER AUTHORITY,Community water system,Ground water,Johnson,,300,4,19,6
GA3050002,SCREVEN,Community water system,Ground water,Wayne,,840,6,39,4
GA2510049,SCREVEN CO. PRISON,Community water system,Ground water,Screven,SYLVANIA,148,4,15,8
GA1270025,SEA ISLAND COMPANY,Community water system,Ground water,Glynn,SEA ISLAND,"1,859",15,8,5
GA0510163,SEABREEZE MOBILE HOME PARK,Community water system,Ground water,Chatham,,83,4,16,4
GA1790152,SEABROOK ISLAND SUBDIVISION,Community water system,Ground water,Liberty,,55,3,6,4
GA1790132,SEABROOK ISLAND SUBDIVISION,Community water system,Ground water,Liberty,,101,6,12,5
GA0290087,SEASCAPE SUBDIVISION,Community water system,Ground water,Bryan,,39,3,6,4
GA3050081,SEMINOLE WOODS,Community water system,Ground water,Wayne,,440,6,2,5
GA0770003,SENOIA,Community water system,Surface water,Coweta,SENOIA,"4,213",12,25,27
GA1470075,SENTU SUBDIVISION,Community water system,Ground water,Hart,,55,6,3,3
GA1270171,SERENOA COVE SUBDIVISION,Community water system,Ground water,Glynn,BRUNSWICK,83,6,9,6
GA1850329,SETTER POINTE SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,44,3,6,1
GA3150004,SEVILLE,Community water system,Ground water,Wilcox,,182,5,12,7
GA1030143,SHADOWBROOK SUBDIVISION,Community water system,Ground water,Effingham,,224,4,6,4
GA0710097,SHADOWOODS SUBDIVISION,Community water system,Ground water,Colquitt,,101,5,8,4
GA1270017,SHADY ACRES MOBILE HOME PARK,Community water system,Ground water,Glynn,BRUNSWICK,484,8,12,4
GA2790027,SHADY ACRES MOBILE HOME PARK,Community water system,Ground water,Toombs,LYONS,86,4,17,5
GA0270006,SHADY ACRES SUBDIVISION,Community water system,Ground water,Brooks,,434,4,5,3
GA1590001,SHADY DALE,Community water system,Ground water,Jasper,SHADY DALE,393,12,69,5
GA0710015,SHADY GROVE SUBDIVISION,Community water system,Ground water,Colquitt,,159,4,1,4
GA1310047,SHADY GROVE VILLAGE,Community water system,Ground water,Grady,CAIRO,60,5,35,6
GA0690034,SHADY PINES MOBILE HOME PARK,Community water system,Ground water,Coffee,DOUGLAS,187,6,29,5
GA1170030,SHADY SHORES SUBDIVISION,Community water system,Surface water purchased,Forsyth,,"1,632",7,5,5
GA1910067,SHELL POINT SUBDIVISION,Community water system,Ground water,McIntosh,,164,5,32,5
GA2430001,SHELLMAN,Community water system,Ground water,Randolph,SHELLMAN,"1,084",13,18,8
GA1910122,SHELLMAR SUBDIVISION,Community water system,Ground water,McIntosh,,36,5,7,5
GA1870073,SHENANDOAH SUBDIVISION,Community water system,Ground water,Lumpkin,,93,6,13,5
GA1110070,SHEPHERDS RIDGE SUBDIVISION,Community water system,Ground water,Fannin,,88,4,6,5
GA1470076,SHERWOOD I & II SUBDIVISION,Community water system,Ground water,Hart,,34,7,2,3
GA1850122,SHERWOOD MOBILE HAMLET,Community water system,Ground water,Lowndes,,47,6,195,3
GA1450002,SHILOH,Community water system,Ground water,Harris,SHILOH,473,6,28,9
GA0770107,SHOAL CREEK,Community water system,Ground water,Coweta,,562,12,14,4
GA0290053,SHUMAN TRAILER PARK,Community water system,Ground water,Bryan,,65,4,33,4
GA1330001,SILOAM,Community water system,Ground water,Greene,SILOAM,416,11,15,5
GA2370087,SINCLAIR WATER AUTHORITY,Community water system,Surface water,Putnam,,0,4,0,21
GA1730014,"SJ WATER, LLC",Community water system,Ground water,Lanier,,598,5,13,6
GA3110090,"SKY MOUNTAIN ESTATES S/D, HOA",Community water system,Ground water,White,,86,6,22,9
GA2410053,SKY VALLEY,Community water system,Ground water,Rabun,DILLARD,"1,820",16,20,8
GA2410134,SKY VALLEY - WINDING RIDGE,Community water system,Ground water,Rabun,,57,5,7,3
GA3110005,SKYLAKE,Community water system,Ground water,White,SAUTEE,"1,173",10,9,4
GA0690039,SLEEPY HOLLOW MOBILE HOME PARK,Community water system,Ground water,Coffee,DOUGLAS,73,6,14,4
GA0310247,SMITH CREEK SUBDIVISION,Community water system,Ground water,Bulloch,,75,4,18,5
GA1770001,SMITHVILLE,Community water system,Ground water,Lee,SMITHVILLE,673,8,26,6
GA2910104,SMOKEY MOUNTAIN ESTATES SUBD,Community water system,Ground water,Union,BLAIRSVILLE,94,8,2,2
GA2210062,SMOKEY ROAD WATER SYSTEM,Community water system,Ground water,Oglethorpe,,143,6,15,5
GA0670007,SMYRNA,Community water system,Surface water purchased,Cobb,SMYRNA,"40,508",3,3,6
GA2970002,SOCIAL CIRCLE,Community water system,Surface water,Walton,SOCIAL CIRCLE,"4,235",5,9,17
GA2830000,SOPERTON,Community water system,Ground water,Treutlen,SOPERTON,"3,115",8,6,5
GA1370070,SOQUE WILDERNESS,Community water system,Ground water,Habersham,,63,3,0,3
GA2110005,SOURCE OF LIGHT MISSION,Community water system,Ground water,Morgan,MADISON,72,4,13,6
GA0290080,SOUTH ATLANTIC UTILITIES-BRYAN COUNTY(S),Community water system,Ground water,Bryan,,"3,422",23,9,5
GA1030087,SOUTH EFFINGHAM WOODS/EFFINGHAM FOREST,Community water system,Ground water,Effingham,,340,6,18,5
GA2550006,SOUTH HAMPTON MOBILE HOME PARK,Community water system,Ground water,Spalding,,566,5,16,3
GA1870078,SOUTH HAMPTON SUBDIVISION,Community water system,Ground water,Lumpkin,,89,6,20,7
GA2070074,SOUTH MONROE COUNTY WATER SYSTEM,Community water system,Surface water purchased,Monroe,,"5,663",4,14,6
GA0770021,SOUTH OAKS MOBILE HOME PARK,Community water system,Ground water,Coweta,,471,6,21,5
GA0690071,SOUTH POINT S/D,Community water system,Ground water,Coffee,,65,6,4,4
GA1030107,SOUTH POINTE SUBDIVISION,Community water system,Ground water,Effingham,,491,4,10,6
GA0310221,SOUTH SIDE WATER SYSTEM,Community water system,Ground water,Bulloch,,55,4,4,5
GA1030161,SOUTHBROOK SUBDIVISION,Community water system,Ground water,Effingham,,47,3,0,2
GA2910059,SOUTHER MILL ESTATES,Community water system,Ground water,Union,BLAIRSVILLE,115,4,18,4
GA0310184,SOUTHERN COMFORT SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,159,6,11,5
GA2610039,SOUTHERN HILLS SUBDIVISION,Community water system,Ground water,Sumter,AMERICUS,101,4,296,13
GA1270042,SOUTHERN PINES MH VILLAGE,Community water system,Ground water,Glynn,BRUNSWICK,104,5,75,6
GA2750080,SOUTHERN POINTE SUBDIVISION,Community water system,Ground water,Thomas,,70,5,2,3
GA0710077,SOUTHLAKE SUBDIVISION,Community water system,Ground water,Colquitt,,143,6,6,4
GA0510049,SOUTHSIDE MOBILE ESTATES,Community water system,Ground water,Chatham,SAVANNAH,224,4,16,5
GA0510050,SOUTHWINDS - WHITE OAKS,Community water system,Ground water,Chatham,SAVANNAH,572,8,10,5
GA2550036,SPALDING COUNTY WATER SYSTEM,Community water system,Surface water purchased,Spalding,,"40,430",4,3,4
GA0750003,SPARKS,Community water system,Ground water,Cook,SPARKS,"1,817",11,20,5
GA1410001,SPARTA,Community water system,Surface water,Hancock,SPARTA,"3,710",6,32,31
GA1270156,SPAULDING INTERPRISES INC,Community water system,Ground water,Glynn,BRUNSWICK,114,4,13,5
GA1910096,SPAULDING POINT SUBDIVISION,Community water system,Ground water,McIntosh,,55,5,0,5
GA0710021,SPENCEFIELD AIRPORT,Community water system,Ground water,Colquitt,MOULTRIE,528,5,9,5
GA0710016,SPENCETON SUBDIVISION 1,Community water system,Ground water,Colquitt,,60,4,4,4
GA0710017,SPENCETON SUBDIVISION 2,Community water system,Ground water,Colquitt,,208,5,2,4
GA0310260,SPENWAY SUBDIVISION,Community water system,Ground water,Bulloch,,296,5,13,2
GA1850216,SPORTSMANS COVE SUBDIVISION,Community water system,Ground water,Lowndes,,88,5,11,7
GA1830008,SPRING CREEK MOBILE HOME PARK,Community water system,Ground water,Long,,65,3,67,8
GA3050009,SPRING GROVE SUBDIVISION,Community water system,Ground water,Wayne,,242,4,8,5
GA1850285,SPRING HILL SUBDIVISION,Community water system,Ground water,Lowndes,LAKE PARK,174,5,14,5
GA1770039,SPRING LAKE MOBILE HOME PARK,Community water system,Ground water,Lee,,117,6,21,8
GA1030002,SPRINGFIELD,Community water system,Ground water,Effingham,SPRINGFIELD,"3,100",16,22,7
GA1910022,SPRINGFIELD PLANTATION SUBDIVISION,Community water system,Ground water,McIntosh,,360,8,5,4
GA1750126,ST. CHARLES SUBDIVISION,Community water system,Ground water,Laurens,,81,7,4,3
GA0390001,ST. MARYS,Community water system,Ground water,Camden,,"17,270",14,92,9
GA1270001,ST. SIMONS ISLAND,Community water system,Ground water,Glynn,SAINT SIMONS ISLAND,"23,579",18,12,6
GA1270015,ST. SIMONS TRAILER PARK,Community water system,Ground water,Glynn,SAINT SIMONS ISLAND,300,4,7,6
GA2930054,STAGECOACH ESTATES,Community water system,Ground water,Upson,,44,7,48,5
GA0310200,STANFORD SUBDIVISION,Community water system,Ground water,Bulloch,STATESBORO,81,6,6,6
GA1630003,STAPLETON,Community water system,Ground water,Jefferson,STAPLETON,430,8,16,4
GA0310216,STAR LINE HEIGHTS APARTMENTS,Community water system,Ground water,Bulloch,STATESBORO,32,4,5,4
GA1130033,STARRS MILL RIDGE SUBDIVISION,Community water system,Ground water,Fayette,,135,4,42,3
GA0310004,STATESBORO,Community water system,Ground water,Bulloch,STATESBORO,"36,846",22,11,6
GA0130001,STATHAM,Community water system,Surface water,Barrow,STATHAM,"3,986",9,13,27
GA1850314,STEEDLEY MOBILE HOME PARK,Community water system,Ground water,Lowndes,,75,5,7,5
GA2310026,STEPHENS PROPERTIES,Community water system,Ground water,Pike,WILLIAMSON,94,4,27,5
GA1270056,STERLING MOBILE HOME PARK,Community water system,Ground water,Glynn,BRUNSWICK,39,5,13,5
GA1830029,STEWART PINES TRAILER PARK,Community water system,Ground water,Long,,81,4,16,5
GA1070003,STILLMORE,Community water system,Ground water,Emanuel,STILLMORE,530,6,25,9
GA0310257,STILLWATER SUBDIVISION,Community water system,Ground water,Bulloch,,26,5,24,5
GA1030133,STILLWOOD SUBDIVISION,Community water system,Ground water,Effingham,,49,4,5,5
GA1510004,STOCKBRIDGE,Community water system,Surface water purchased,Henry,STOCKBRIDGE,"7,195",7,9,6
GA1950063,STONE CREEK SUBDIVISION,Community water system,Ground water,Madison,,52,6,4,3
GA0310261,STONEBROOK SUBDIVISION,Community water system,Ground water,Bulloch,,299,6,3,8
GA1030144,STONEGATE SUBDIVISION,Community water system,Ground water,Effingham,,198,4,6,4
GA0290011,STRATHY HALL SUBDIVISION,Community water system,Ground water,Bryan,,"1,118",11,12,5
GA2110009,SUGAR BEND-LAKE OCONEE S/D,Community water system,Ground water,Morgan,,226,6,4,5
GA2370065,SUGAR CREEK FARMS POA,Community water system,Ground water,Putnam,,62,5,16,4
GA2750073,SUGAR MILL RV PARK,Community water system,Ground water,Thomas,,312,3,4,4
GA2750018,SUGARWOOD ESTATES MHP,Community water system,Ground water,Thomas,THOMASVILLE,156,7,16,5
GA2210052,SULFUR SPRINGS COMMUNITY PWS,Community water system,Ground water,Oglethorpe,,45,4,4,6
GA2750060,SUMMER MEADOWS SUBDIVISION,Community water system,Ground water,Thomas,THOMASVILLE,88,6,21,5
GA1850278,SUMMERFIELD SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,528,6,15,7
GA1850300,SUMMERPLACE NORTH SUBDIVISION,Community water system,Ground water,Lowndes,VALDOSTA,44,4,10,6
GA1070004,SUMMERTOWN,Community water system,Ground water,Emanuel,SUMMERTOWN,250,10,62,8
GA0550003,SUMMERVILLE,Community water system,Surface water,Chattooga,SUMMERVILLE,"11,651",9,12,35
GA1850299,SUMMIT CHASE SUBDIVISION,Community water system,Ground water,Lowndes,,161,6,11,5
GA3210002,SUMNER,Community water system,Ground water,Worth,SUMNER,437,7,20,7
GA1570109,SUNI-PINES MOBILE HOME PARK,Community water system,Ground water,Jackson,,31,4,48,4
GA0710088,SUNLIT PINES MHP,Community water system,Ground water,Colquitt,,36,4,5,4
GA2790010,SUNNI PINES MOBILE HOME PARK,Community water system,Ground water,Toombs,VIDALIA,52,4,36,4
GA2750048,SUNNYBELLE ACRES,Community water system,Ground water,Thomas,THOMASVILLE,57,4,9,6
GA0750039,SUNSHINE ACRES MHC,Community water system,Ground water,Cook,,193,6,5,4
GA1390016,SURFSIDE CLUB ESTATES,Community water system,Ground water,Hall,GAINESVILLE,523,12,4,5
GA0010001,SURRENCY,Community water system,Ground water,Appling,SURRENCY,468,6,13,3
GA1070005,SWAINSBORO,Community water system,Ground water,Emanuel,SWAINSBORO,"8,500",20,25,4
GA1070031,SWAINSBORO CREST,Community water system,Ground water,Emanuel,TWIN CITY,34,4,78,6
GA2750078,SWEETBRIAR LAKES SUBDIVISION,Community water system,Ground water,Thomas,,211,4,1,3
GA0770030,SWEETBRIAR MOBILE HOME PARK,Community water system,Ground water,Coweta,,270,5,28,4
GA3110060,SWISS COLONY WATER SERVICE,Community water system,Ground water,White,,153,5,5,6
GA2870002,SYCAMORE,Community water system,Ground water,Turner,SYCAMORE,702,9,11,3
GA2410035,SYLVAN LAKE FALLS,Community water system,Ground water,Rabun,RABUN GAP,429,10,42,9
